city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,nearest_region_idx,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,nearest_lat,nearest_lon,openalex_match_km,openalex_geo_city,openalex_ai_works_recent,openalex_ai_institution_count,openalex_lat,openalex_lon,openalex_match_ok,log_ai_works,ai_works_per_million,log_ai_works_per_million
Shaoyang,Shaoyang,27.2418,111.4725,China,CN,CHN,Hunan,,7302400.0,1156310366,1,614.9800081116546,73.52902174310303,aws,ap-east-1,Asia Pacific (Hong Kong),22.2793278,114.1628131,5.559934215103065,Tangdukou,29,1,27.2034969329834,111.43635559082033,True,3.4011973816621555,3.9712971078001753,1.603680793542173
Zaozhuang,Zaozhuang,34.8667,117.55,China,CN,CHN,Shandong,,3650000.0,1156796454,12,569.6277355392025,75.2154241437484,aws,cn-north-1,China (Beijing),39.906217,116.3912757,0.43949373830980015,Zaozhuang,26,1,34.86471939086914,117.55416870117188,True,3.295836866004329,7.123287671232877,2.0947349578493344
Leshan,Leshan,29.5854,103.7575,China,CN,CHN,Sichuan,,3364000.0,1156203130,13,882.7973162030887,64.31362639778617,aws,cn-northwest-1,China (Ningxia),37.3095528,105.96085530747736,0.8088960159605226,Leshan,23,1,29.579259872436523,103.7619857788086,True,3.1780538303479458,6.837098692033294,2.058868701079772
Hefei,Hefei,31.8639,117.2808,China,CN,CHN,Anhui,admin,7457027.0,1156332710,12,897.834383748159,63.83189545016552,aws,cn-north-1,China (Beijing),39.906217,116.3912757,11.264522008865333,Hefei,13,1,31.901731491088867,117.17012786865234,True,2.6390573296152584,1.7433221041039544,1.0091696327332522
Chengdu,Chengdu,30.66,104.0633,China,CN,CHN,Sichuan,admin,11309000.0,1156421555,13,759.7609273621555,68.39431603738852,aws,cn-northwest-1,China (Ningxia),37.3095528,105.96085530747736,23.285158675285945,Chengdu,11,1,30.676218032836918,103.82057189941406,True,2.4849066497880004,0.9726766292333541,0.6793913156013227
Lanzhou,Lanzhou,36.0617,103.8318,China,CN,CHN,Gansu,admin,3616163.0,1156280566,13,235.1383647308956,88.9079001030383,aws,cn-northwest-1,China (Ningxia),37.3095528,105.96085530747736,0.8931336684834976,Lanzhou,4,1,36.057010650634766,103.8398666381836,True,1.6094379124341003,1.106144828095415,0.744859180623361
Nicosia,Nicosia,35.1725,33.365,Cyprus,CY,CYP,Lefkosía,primary,330000.0,1196944155,21,428.2184079843789,80.72602241697955,aws,il-central-1,Middle East (Israel) - ???,31.5313113,34.8667654,0.32060317119974585,Nicosia,6,1,35.17530822753906,33.364200592041016,True,1.9459101490553132,18.181818181818183,2.953962860677696
Prague,Prague,50.0833,14.4167,Czechia,CZ,CZE,"Praha, Hlavní Město",primary,1335084.0,1203744823,48,408.9600634871976,81.50710173020713,azure,germanywestcentral,"Frankfurt, Germany West Central, Europe",50.110924,8.682127,0.6014022834792787,Prague,381,3,50.08803979939779,14.420760051574709,True,5.945420608606575,285.3753022281744,5.657303196131197
Ostrava,Ostrava,49.8356,18.2925,Czechia,CZ,CZE,Moravskoslezský Kraj,admin,284982.0,1203687206,87,327.09590468930134,84.91257804532407,gcp,europe-central2,"Warsaw, Poland, Europe",52.2319581,21.0067249,0.7576154729782891,Ostrava,128,2,49.83464906616212,18.28203982116699,True,4.859812404361672,449.1511744601413,6.109583469592827
Brno,Brno,49.1953,16.6083,Czechia,CZ,CZE,Jihomoravský Kraj,admin,382405.0,1203676514,87,458.0057942084911,79.53262293587606,gcp,europe-central2,"Warsaw, Poland, Europe",52.2319581,21.0067249,0.02625849203886977,Brno,101,1,49.19522,16.60796,True,4.624972813284271,264.11788548789895,5.580174577967128
