geo_city,geo_country_code,ai_works_recent,ai_institution_count,lat,lon
Nanded,IN,12,1,18.6926212310791,77.73011779785156
Berkeley,US,12,1,37.87158966064453,-122.27275085449219
Espoo,FI,12,1,60.2052,24.6522
Belmont,US,12,1,42.39787292480469,-71.17529296875
Cergy-Pontoise,FR,11,1,49.03894,2.07805
Hiroshima,JP,11,2,34.40266036987305,132.44242095947266
Chandigarh,IN,11,1,30.736289978027344,76.78839874267578
New Rochelle,US,11,1,40.925479888916016,-73.78790283203125
Leeuwarden,NL,11,1,53.20271,5.80973
Chengdu,CN,11,1,30.676218032836914,103.82057189941406
Reno,US,10,1,39.49658966064453,-119.87262725830078
Seoul,KR,10,1,37.580833435058594,126.92388916015625
Jijel,DZ,9,1,36.80135726928711,5.751527786254883
Vincennes,US,9,1,38.686859130859375,-87.52310943603516
Tyler,US,9,1,32.35126,-95.30106
Zlín,CZ,9,1,49.2264518737793,17.670650482177734
Rzeszów,PL,8,1,50.04132080078125,21.99901008605957
Fujisawa,JP,8,1,35.32438659667969,139.45181274414062
Cookeville,US,8,1,36.162841796875,-85.50164031982422
Tampere,FI,8,1,61.504032135009766,23.809003829956055
Paisley,GB,7,1,55.831729888916016,-4.432539939880371
Arad,RO,7,1,46.18333053588867,21.316669464111328
Wolfenbüttel,DE,7,1,52.16442108154297,10.540949821472168
Reims,FR,6,1,49.2652587890625,4.028530120849609
Palo Alto,US,6,1,37.40271759033203,-122.14799499511719
Piteşti,RO,6,1,44.849998474121094,24.866670608520508
Antibes,FR,6,1,43.58127,7.12487
Gaithersburg,US,6,1,39.14091873168945,-77.21875762939453
Sunnyvale,US,6,1,37.41718292236328,-122.02499389648438
Nicosia,CY,6,1,35.17530822753906,33.364200592041016
Villers-lès-Nancy,FR,5,1,48.67333,6.15283
Chicago,US,5,1,41.717647552490234,-87.6097412109375
Québec,CA,5,1,46.812278747558594,-71.21453857421875
Ipswich,GB,4,1,52.05916976928711,1.1554499864578247
Lanzhou,CN,4,1,36.057010650634766,103.8398666381836
Wayne,US,4,1,42.230560302734375,-97.017822265625
Hsinchu,TW,4,1,24.758333206176758,120.9527816772461
Omaha,US,4,1,41.2642822265625,-96.1151123046875
The Hague,NL,4,1,52.07667,4.29861
Tempe,US,4,1,33.41852569580078,-111.97714233398438
Donji grad,HR,4,1,45.81312942504883,15.977529525756836
Turku,FI,3,1,60.455596923828125,22.28641128540039
Dacun,TW,3,1,24.0,120.59610748291016
Oxford,GB,3,1,51.752220153808594,-1.2559599876403809
Taoyuan City,TW,3,1,25.0195255279541,121.4009780883789
Newport News,US,3,1,37.06305694580078,-76.49305725097656
Neyagawa,JP,3,1,34.760948181152344,135.62660217285156
Kashihara,JP,3,1,34.55165481567383,135.6497039794922
Sunderland,GB,2,1,54.9046516418457,-1.3822200298309326
Austin,US,1,1,30.445785522460938,-97.77733612060547
Oslo,NO,1,1,59.93594741821289,10.75960922241211
Santiago,CL,1,1,-33.42711639404297,-70.6104736328125
Yangon,MM,1,1,16.821029663085938,96.1359634399414
Georgetown,US,1,1,30.6326904296875,-97.67723083496094
Milan,IT,0,1,45.49623107910156,9.194457054138184
Ancona,IT,0,1,43.60200881958008,13.462653160095215
Helsinki,FI,0,1,60.16952133178711,24.935449600219727
Debrecen,HU,0,1,47.53166961669922,21.624439239501953
Pleasant Prairie,US,0,1,42.532867431640625,-87.89959716796875
Prosek,CZ,0,1,50.11692810058594,14.494235038757324
Setúbal,PT,0,1,38.5244,-8.8882
Cebu City,PH,0,1,10.320239067077637,123.93303680419922
Vaxjo,SE,0,1,56.883331298828125,14.800000190734863
Vergennes,US,0,1,44.19749069213867,-73.35689544677734
Veszprém,HU,0,1,47.10996627807617,17.909683227539062
