city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,nearest_region_idx,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,nearest_lat,nearest_lon,ai_inst_count,ai_works_recent,geo_city,geo_country_code,top_inst_count,top_inst_ai_works,regions_within_1000,regions_within_1500,providers_within_1000,score_proximity,score_provider_diversity,score_redundancy,score_population,score_institutions,bundle_score,distance_only_score,bundle_gain_vs_distance
Ljubljana,Ljubljana,46.05,14.5167,Slovenia,SI,SVN,Ljubljana,primary,286745.0,1705917455,17,418.29807201260144,81.12743175487584,aws,eu-south-1,EU (Milan),45.4641943,9.1896346,3.0,351.0,Ljubljana,SI,3.0,351.0,18,23,3,0.9316516310332841,1.0,0.934392648742673,0.25624450895323314,0.6829824818165531,80.37035983401826,93.16516310332841,-12.794803269310151
Potsdam,Potsdam,52.4,13.0667,Germany,DE,DEU,Brandenburg,admin,182219.0,1276395100,70,296.396798057581,86.22600264189019,azure,germanynorth,"Berlin, Germany North, Europe",53.073635,8.806422,2.0,247.0,Potsdam,DE,2.0,247.0,23,29,3,0.9515698515732522,1.0,1.0,0.187231863041669,0.6315207709011407,80.34408357207225,95.15698515732522,-14.812901585252973
Trento,Trento,46.0667,11.1167,Italy,IT,ITA,Trentino-Alto Adige,admin,117997.0,1380953307,17,163.80212440558088,92.13631118237434,aws,eu-south-1,EU (Milan),45.4641943,9.1896346,2.0,348.0,Trento,IT,2.0,348.0,18,26,3,0.973235334357297,1.0,0.9690225224134634,0.12108622991187379,0.6671078064224187,80.28766175550821,97.3235334357297,-17.03587168022149
The Hague,The Hague,52.0767,4.2986,Netherlands,NL,NLD,Zuid-Holland,primary,1406000.0,1528799905,39,52.1352545451881,97.42692002120316,azure,westeurope,"Netherlands, West Europe, Europe",52.3667,4.9,1.0,4.0,The Hague,NL,1.0,4.0,25,29,3,0.9914812908491702,1.0,1.0,0.4982561948475785,0.2037466447726882,80.18929422827081,99.14812908491703,-18.95883485664622
Bordeaux,Bordeaux,44.84,-0.58,France,FR,FRA,Nouvelle-Aquitaine,admin,257804.0,1250449238,69,247.5405603179188,88.35827940696713,azure,francesouth,"Marseille, France South, Europe",43.8345,2.1972,1.0,222.0,Bordeaux,FR,1.0,222.0,20,24,3,0.959552781418684,1.0,0.9463948908766786,0.24004959237832568,0.599335080956488,80.16880471991975,95.9552781418684,-15.786473421948656
Nice,Nice,43.7034,7.2663,France,FR,FRA,Provence-Alpes-Côte d’Azur,minor,1006402.0,1250774553,17,248.0475443319453,88.33588412801605,aws,eu-south-1,EU (Milan),45.4641943,9.1896346,1.0,24.0,Nice,FR,1.0,24.0,16,25,3,0.9594699420924491,1.0,0.9579263337046495,0.44735972637733973,0.37139268068474895,80.02897879519904,95.9469942092449,-15.918015414045868
Leicester,Leicester,52.6333,-1.1333,United Kingdom,GB,GBR,Leicester,,508916.0,1826431946,91,142.82747134503668,93.10765928267564,gcp,europe-west2,"London, England, Europe",51.5073219,-0.1276474,1.0,28.0,Leicester,GB,1.0,28.0,21,29,3,0.9766625156479815,1.0,1.0,0.34356983468661206,0.3868527523755512,80.02283943185171,97.66625156479815,-17.643412132946438
Wolverhampton,Wolverhampton,52.5833,-2.1333,United Kingdom,GB,GBR,Wolverhampton,,254406.0,1826636841,73,144.1023141158848,93.04832938058512,azure,ukwest,"Cardiff, UK West, Europe",51.427,-3.084,1.0,86.0,Wolverhampton,GB,1.0,86.0,21,28,3,0.9764542110204768,1.0,0.9900324656668077,0.2380299506218942,0.5012889749701439,79.99843930970175,97.64542110204768,-17.646981792345926
Kaiserslautern,Kaiserslautern,49.4447,7.7689,Germany,DE,DEU,Rhineland-Palatinate,minor,100030.0,1276674534,92,98.90747578447272,95.17491870414744,gcp,europe-west3,"Frankfurt, Germany Europe",50.1106444,8.6820917,1.0,216.0,Kaiserslautern,DE,1.0,216.0,22,29,3,0.9838388816473436,1.0,1.0,0.09594180963926749,0.5964940592490247,79.74009329921815,98.38388816473436,-18.643794865516213
Ostrava,Ostrava,49.8356,18.2925,Czechia,CZ,CZE,Moravskoslezský Kraj,admin,284982.0,1203687206,87,327.09590468930134,84.91257804532407,gcp,europe-central2,"Warsaw, Poland, Europe",52.2319581,21.0067249,2.0,128.0,Ostrava,CZ,2.0,128.0,13,26,3,0.9465537302774548,1.0,0.9690225224134634,0.2553057419599532,0.5634372568593063,79.67863202958905,94.65537302774548,-14.97674099815643
Lausanne,Lausanne,46.5333,6.6333,Switzerland,CH,CHE,Vaud,admin,138905.0,1756055099,72,52.457882398161786,97.41120496975142,azure,switzerlandwest,"Geneva, Switzerland West, Europe",46.204391,6.143158,1.0,224.0,Lausanne,CH,1.0,131.0,21,26,3,0.9914285746426913,1.0,0.9690225224134634,0.14591742220356121,0.5447144423867539,79.55195879076433,99.14285746426913,-19.590898673504796
Memphis,Memphis,35.1046,-89.9773,United States,US,USA,Tennessee,,1066967.0,1840015457,102,493.1151901201983,78.1486350487487,gcp,us-central2,"Mayes County, Oklahoma, North America",36.3047676,-95.2355722,1.0,122.0,Memphis,US,1.0,122.0,10,17,3,0.9194267886646815,1.0,0.8498100620328151,0.45625506768106266,0.5373586101935953,79.42842764519935,91.94267886646816,-12.514251221268808
Dayton,Dayton,39.7797,-84.1998,United States,US,USA,Ohio,,718353.0,1840034249,105,104.32510683487996,94.917456273298,gcp,us-east5,"Colombus, Ohio, North America",39.9622601,-83.0007065,1.0,31.0,Dayton,US,1.0,31.0,14,19,3,0.9829536606273729,1.0,0.8807875396193516,0.3960357604110933,0.39710669746690136,79.42709638755511,98.29536606273729,-18.868269675182177
Brno,Brno,49.1953,16.6083,Czechia,CZ,CZE,Jihomoravský Kraj,admin,382405.0,1203676514,87,458.0057942084911,79.53262293587606,gcp,europe-central2,"Warsaw, Poland, Europe",52.2319581,21.0067249,1.0,101.0,Brno,CZ,1.0,101.0,14,27,3,0.925163535034145,1.0,0.9797151227215061,0.3000657822135219,0.5178578437051292,78.97112263096815,92.51635350341449,-13.54523087244634
Mumbai,Mumbai,18.9667,72.8333,India,IN,IND,Mahārāshtra,admin,23355000.0,1356226629,5,13.006468289797253,99.35178661175134,aws,ap-south-1,Asia Pacific (Mumbai),19.0759899,72.8773928,0.0,0.0,,,0.0,0.0,7,9,3,0.9978747908414979,1.0,0.6769924925288455,0.9259965187187885,0.0,78.95982680237444,99.7874790841498,-20.827652281775357
