city_id,city,city_ascii,country,iso2,iso3,admin_name,population,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,observed_ai_works_recent,priority_rank,priority_rule,priority_distance_threshold_km
1558566609,San José de Bocay,San Jose de Bocay,Nicaragua,NI,NIC,Jinotega,63922.0,2213.951638725226,33.05571154429738,azure,southcentralus,"Texas, South Central US, US",0.0,1678,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608317775,Janiuay,Janiuay,Philippines,PH,PHL,Iloilo,63905.0,1474.0731888470464,47.85298945827943,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1679,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608192465,Tuburan,Tuburan,Philippines,PH,PHL,Cebu,63866.0,1523.8465000352298,46.67678519151855,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1680,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1218947988,Latacunga,Latacunga,Ecuador,EC,ECU,Cotopaxi,63842.0,3708.70670318305,15.655414543911336,gcp,southamerica-west1,"Santiago, Chile, South America",0.0,1681,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1562298335,Gaya,Gaya,Niger,NE,NER,Dosso,63815.0,3248.720976566312,19.70376428022548,gcp,europe-southwest1,"Madrid, Spain, Europe",0.0,1682,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1076726167,Benevides,Benevides,Brazil,BR,BRA,Pará,63768.0,2456.342517261848,29.28275942639131,azure,brazilsoutheast,"Rio, Brazil Southeast, South America",0.0,1683,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1320763146,Santa Catarina Pinula,Santa Catarina Pinula,Guatemala,GT,GTM,Guatemala,63767.0,1844.9939432241977,39.75251916753026,azure,southcentralus,"Texas, South Central US, US",0.0,1684,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1604035626,Chincha Alta,Chincha Alta,Peru,PE,PER,Ica,63671.0,2290.748127609684,31.810490400170167,gcp,southamerica-west1,"Santiago, Chile, South America",0.0,1685,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1384483732,Guiglo,Guiglo,Côte D’Ivoire,CI,CIV,Montagnes,63643.0,3785.3870984017663,15.06654370233324,gcp,europe-southwest1,"Madrid, Spain, Europe",0.0,1686,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1076348562,Irecê,Irece,Brazil,BR,BRA,Bahia,63626.0,1297.646030972407,52.266057829072295,azure,brazilsoutheast,"Rio, Brazil Southeast, South America",0.0,1687,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1076270377,Palmares,Palmares,Brazil,BR,BRA,Pernambuco,63500.0,1777.5947321521217,41.11499183822811,azure,brazilsoutheast,"Rio, Brazil Southeast, South America",0.0,1688,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608448862,Hilongos,Hilongos,Philippines,PH,PHL,Leyte,63431.0,1588.0638630836042,45.20186081418866,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1689,zero_observed_ai_and_distance_gte_q75,1251.605776472141
